date,sample_count
2021-05-08,55
2021-05-20,54
2021-07-04,52
2021-01-17,51
2021-01-14,45
2021-07-28,45
2021-03-09,43
2021-03-20,42
2021-06-12,41
2021-04-29,37
2021-01-25,35
2021-06-25,33
2021-05-23,30
2021-01-18,29
2021-01-05,29
2021-02-15,23
2021-05-12,19
2021-01-07,19
2021-06-05,17
2021-01-12,16
2021-05-27,14
2021-06-22,13
2021-02-20,13
2021-03-13,12
2021-01-13,11
2021-02-22,11
2021-04-08,11
2021-06-19,10
2021-04-23,9
2021-07-13,8
2021-02-06,7
2021-04-11,6
2021-03-14,5
2021-05-02,4
2021-02-21,4
2021-07-22,3
2021-01-06,3
2021-07-15,3
2021-01-22,3
2021-06-02,2
2021-07-10,2
2021-01-23,1
2021-01-21,1
